n,token,count,wh
15,quote,49,who
180,rac,3,what
506,raid,1,what
42,raise,24,what
487,ram,1,what
173,rate,4,who
319,ratify,1,what
234,reach,2,what
299,reaffirm,1,what
269,reappoint,2,what
363,reasses,1,what
317,reassure,1,what
403,rebuff,1,what
303,rebut,1,what
19,receive,47,what
480,recieve,1,what
410,reckon,1,what
409,recognise,1,what
356,recommend,1,what
170,record,4,what
295,redeem,2,what
165,reduce,4,what
472,reexamine,1,what
513,refine,1,what
31,refuse,33,what
230,register,2,what
60,reject,16,who
389,rejoin,1,what
411,release,1,what
368,rely,1,what
338,remind,1,what
147,remove,5,what
337,rename,1,what
351,renege,1,what
382,renegotiate,1,what
191,repay,3,who
208,repeat,3,what
38,replace,26,what
25,report,37,what
149,represent,5,what
228,request,2,what
69,require,13,what
321,reschedule,1,what
309,rescue,1,what
425,resell,1,what
115,resign,7,who
258,resist,2,what
424,resolve,1,what
308,restate,1,what
360,restructure,1,what
449,resume,1,what
511,resurrect,1,what
88,retain,10,what
421,retaliate,1,what
509,retire,1,what
290,return,2,what
169,review,4,what
279,revise,2,what
280,revive,2,what
250,rise,2,what
504,rival,1,what
311,roll,1,what
248,rule,2,what
84,rumor,10,what
136,run,6,what
479,satisfy,1,what
1,say,208,what
37,schedule,27,what
362,scour,1,what
345,scrap,1,what
131,see,6,what
24,seek,38,what
167,seem,4,what
477,seize,1,what
100,select,8,what
28,sell,34,what
154,send,5,what
357,sense,1,what
381,serve,1,what
49,set,21,what
474,shelve,1,what
161,ship,4,what
94,show,9,what
119,shr,7,how many
493,shut,1,what
67,sign,14,what
359,single,1,what
437,sink,1,what
259,slate,2,what
380,specify,1,what
187,spend,3,how much
454,spin,1,what
369,spread,1,what
336,stage,1,what
209,stand,3,what
47,start,22,what
440,step,1,what
61,stop,16,what
394,stress,1,what
240,strike,2,what
244,strive,2,what
377,struggle,1,what
188,study,3,what
453,stun,1,what
206,submit,3,what
390,subsidise,1,what
364,subsidize,1,what
41,succeed,25,what
90,sue,9,who
435,suggest,1,what
476,summons,1,what
113,supply,7,what
96,support,9,who
262,surrender,2,what
433,swear,1,what
498,switch,1,what
45,take,23,what
263,target,2,what
0,tell,644,what
307,tender,1,what
431,terminate,1,what
450,test,1,what
275,thank,2,what
327,think,1,what
64,threaten,15,who
460,throw,1,what
461,tighten,1,what
471,time,1,what
,token,count,wh
257,top,2,what
401,total,1,what
199,trade,3,what
432,trail,1,what
276,transfer,2,what
459,travel,1,what
14,try,49,what
242,undergo,2,what
183,understand,3,what
343,undertake,1,what
464,underwrite,1,what
486,unveil,1,what
16,urge,49,who
116,use,7,what
75,used,12,what
300,usurp,1,what
413,vacate,1,what
125,veto,6,what
227,view,2,who
217,violate,3,who
39,visit,26,where
412,vist,1,what
56,vote,17,what
109,vow,7,what
241,wait,2,what
489,waive,1,what
20,want,46,what
46,warn,23,who
233,welcome,2,what
496,widen,1,what
71,win,13,what
213,withdraw,3,who
439,withhold,1,what
205,work,3,what
253,write,2,what
